UM_NAMEF;UM_NAMES;UM_CODE;UM_TRANS;UM_TYPE;UM_TM;UM_TE;UM_KLADR;global_id
Полное наименование;Сокращённое наименование;Код;Транслитерация;Код вида;Код ОМК ТМ;Код ОМК ТЕ;Код КЛАДР;global_id
Глебовский мост;Глебовский мост;93013;Glebovskij most;11;;"0418;0403;0415";;58485116
Госпитальный мост;Госпитальный мост;93014;Gospital`ny'j most;11;;"0507;0102";;58485117
Давыдковский мост;Давыдковский мост;93015;Davy'dkovskij most;11;;"0820;0819";;58485118
Дорогобужский мост;Дорогобужский мост;93016;Dorogobuzhskij most;11;;809;;58485119
Зверев мост;Зверев мост;93017;Zverev most;11;;103;;58485120
Иваньковский мост;Иваньковский мост;93018;Ivan`kovskij most;11;;903;;58485121
Большой Каменный мост;Б. Каменный мост;93019;Bol`shoj Kamenny'j most;11;;"0108;0109;0110";;58485122
Малый Каменный мост;М. Каменный мост;93020;Maly'j Kamenny'j most;11;;110;;58485123
Карамышевский мост;Карамышевский мост;93021;Karamy'shevskij most;11;;906;;58485124
Комиссариатский мост;Комиссариатский мост;93022;Komissariatskij most;11;;103;;58485125
Костомаровский мост;Костомаровский мост;93023;Kostomarovskij most;11;;107;;58485126
Большой Краснохолмский мост;Б. Краснохолмский мост;93024;Bol`shoj Krasnoxolmskij most;11;;"0107;0103";;58485127
Малый Краснохолмский мост;М. Краснохолмский мост;93025;Maly'j Krasnoxolmskij most;11;;103;;58485128
Крылатский мост;Крылатский мост;93026;Kry'latskij most;11;;"0906;0806;0818";;58485129
Крымский мост;Крымский мост;93027;Kry'mskij most;11;;"0109;0110";;58485130
Ленинградский мост;Ленинградский мост;93028;Leningradskij most;11;;211;;58485131
Лефортовский мост;Лефортовский мост;93029;Lefortovskij most;11;;"0102;0507";;58485132
Лужнецкий мост;Лужнецкий мост;93030;Luzhneczkij most;11;;"0805;0815;0109";;58485133
мост Лужники;мост Лужники;93031;most Luzhniki;11;;"0109;0815;0702";;58485134
1-й Медведковский мост;1-й Медведковский мост;93032;Pervy'j Medvedkovskij most;11;;"0316;0303";;58485135
2-й Медведковский мост;2-й Медведковский мост;93033;Vtoroj Medvedkovskij most;11;;"0316;0313;0303";;58485136
Большой Москворецкий мост;Б. Москворецкий мост;93034;Bol`shoj Moskvoreczkij most;11;;"0108;0110";;58485137
Малый Москворецкий мост;М. Москворецкий мост;93035;Maly'j Moskvoreczkij most;11;;110;;58485138
Нагатинский мост;Нагатинский мост;93036;Nagatinskij most;11;;"0613;0609;0614";;58485140
Новорублёвский мост;Новорублёвский мост;93037;Novorublyovskij most;11;;815;;58485141
Новоспасский мост;Новоспасский мост;93038;Novospasskij most;11;;"0107;0103;0609";;58485142
Новосходненский мост;Новосходненский мост;93039;Novosxodnenskij most;11;;"0903;0908";;58485143
1-й Ростокинский мост;1-й Ростокинский мост;93040;Pervy'j Rostokinskij most;11;;"0301;0312";;58485144
2-й Ростокинский мост;2-й Ростокинский мост;93041;Vtoroj Rostokinskij most;11;;312;;58485145
Садовнический мост;Садовнический мост;93042;Sadovnicheskij most;11;;103;;58485146
Салтыковский мост;Салтыковский мост;93043;Salty'kovskij most;11;;"0102;0507";;58485147
Сетуньский мост;Сетуньский мост;93044;Setun`skij most;11;;815;;58485148
