UM_NAMEF;UM_NAMES;UM_CODE;UM_TRANS;UM_TYPE;UM_TM;UM_TE;UM_KLADR;global_id
Полное наименование;Сокращённое наименование;Код;Транслитерация;Код вида;Код ОМК ТМ;Код ОМК ТЕ;Код КЛАДР;global_id
Садовая улица;Садовая ул.;24110;Sadovaya ulicza;1;;1005;7,70000020002543E+016;58482652
Большая Садовая улица;Б. Садовая ул.;24120;Bol`shaya Sadovaya ulicza;1;;"0106;0108";7,70000000002542E+016;58482653
Садовая-Каретная улица;Садовая-Каретная ул.;24130;Sadovaya-Karetnaya ulicza;1;;108;7,70000000000589E+016;58482654
Садовая-Кудринская улица;Садовая-Кудринская ул.;24140;Sadovaya-Kudrinskaya ulicza;1;;106;7,70000000002551E+016;58482655
Садовая-Самотёчная улица;Садовая-Самотёчная ул.;24150;Sadovaya-Samotyochnaya ulicza;1;;"0105;0108";7,7000000000059E+016;58482656
Садовая-Спасская улица;Садовая-Спасская ул.;24160;Sadovaya-Spasskaya ulicza;1;;104;7,70000000000681E+016;58482657
Садовая-Сухаревская улица;Садовая-Сухаревская ул.;24170;Sadovaya-Suxarevskaya ulicza;1;;105;7,70000000002546E+016;58482658
Садовая-Триумфальная улица;Садовая-Триумфальная ул.;24180;Sadovaya-Triumfal`naya ulicza;1;;108;7,70000000002547E+016;58482659
Садовая-Черногрязская улица;Садовая-Черногрязская ул.;24190;Sadovaya-Chernogryazskaya ulicza;1;;102;7,70000000002552E+016;58482660
улица Садовая Слобода;ул. Садовая Слобода;24200;ulicza Sadovaya Sloboda;1;;614;7,70000000003811E+016;58482661
улица Садовники;ул. Садовники;24210;ulicza Sadovniki;1;;613;7,70000000002548E+016;58482662
Садовническая набережная;Садовническая наб.;24220;Sadovnicheskaya naberezhnaya;5;;103;7,70000000002549E+016;58482663
Садовнический переулок;Садовнический пер.;24230;Sadovnicheskij pereulok;2;;103;7,70000000003812E+016;58482664
Садовнический проезд;Садовнический пр.;24240;Sadovnicheskij proezd;3;;103;7,70000000003813E+016;58482665
Садово-Крестьянская улица;Садово-Крестьянская ул.;24250;Sadovo-Krest`yanskaya ulicza;1;;616;7,70000000004208E+016;58482666
Мамоновский переулок;Мамоновский пер.;24260;Mamonovskij pereulok;2;;108;7,70000000007225E+016;58482667
Садовый тупик;Садовый туп.;24270;Sadovy'j tupik;7;;102;7,70000000002554E+016;58482668
1-я улица Новые Сады;1-я ул. Новые Сады;24271;Pervaya ulicza Novy'e Sady';1;;811;7,70000000002075E+016;58482669
2-я улица Новые Сады;2-я ул. Новые Сады;24272;Vtoraya ulicza Novy'e Sady';1;;811;7,70000000002078E+016;58482670
3-я улица Новые Сады;3-я ул. Новые Сады;24273;Tret`ya ulicza Novy'e Sady';1;;811;7,70000000002079E+016;58482671
4-я улица Новые Сады;4-я ул. Новые Сады;24274;Chetvyortaya ulicza Novy'e Sady';1;;811;7,7000000000208E+016;58482672
5-я улица Новые Сады;5-я ул. Новые Сады;24275;Pyataya ulicza Novy'e Sady';1;;811;7,70000000002081E+016;58482673
6-я улица Новые Сады;6-я ул. Новые Сады;24276;Shestaya ulicza Novy'e Sady';1;;811;7,70000000002074E+016;58482674
7-я улица Новые Сады;7-я ул. Новые Сады;24277;Sed`maya ulicza Novy'e Sady';1;;811;7,70000000002082E+016;58482675
8-я улица Новые Сады;8-я ул. Новые Сады;24278;Vos`maya ulicza Novy'e Sady';1;;811;7,70000000002083E+016;58482676
9-я улица Новые Сады;9-я ул. Новые Сады;24279;Devyataya ulicza Novy'e Sady';1;;811;7,70000000002084E+016;58482677
улица Сайкина;ул. Сайкина;24280;ulicza Sajkina;1;;"0515;0609";7,70000000000209E+016;58482678
10-я улица Новые Сады;10-я ул. Новые Сады;24281;Desyataya ulicza Novy'e Sady';1;;811;7,70000000002076E+016;58482679
11-я улица Новые Сады;11-я ул. Новые Сады;24282;Odinnadczataya ulicza Novy'e Sady';1;;811;7,70000000002077E+016;58482680
улица Знаменские Садки;ул. Знаменские Садки;24283;ulicza Znamenskie Sadki;1;;708;7,70000000001346E+016;58482681
Салтыковская улица;Салтыковская ул.;24292;Salty'kovskaya ulicza;1;;"0409;0412";7,70000000000441E+016;58482682
улица Сальвадора Альенде;ул. Сальвадора Альенде;24295;ulicza Sal`vadora Al`ende;1;;214;7,70000000003241E+016;58482683
улица Саляма Адиля;ул. Саляма Адиля;24300;ulicza Salyama Adilya;1;;906;7,70000000002557E+016;58482684
Самаринская улица;Самаринская ул.;24310;Samarinskaya ulicza;1;;609;7,70000000002558E+016;58482685
2-я Самаринская улица;2-я Самаринская ул.;24312;Vtoraya Samarinskaya ulicza;1;;609;7,70000000003814E+016;58482686
Самаркандский бульвар;Самаркандский бульв.;24330;Samarkandskij bul`var;8;;504;7,70000000000064E+016;58482687
Самарская улица;Самарская ул.;24340;Samarskaya ulicza;1;;105;7,70000000002561E+016;58482688
Самокатная улица;Самокатная ул.;24370;Samokatnaya ulicza;1;;507;7,70000000000318E+016;58482689
Самотёчная площадь;Самотёчная пл.;24380;Samotyochnaya ploshhad`;4;;"0105;0108";7,70000000000591E+016;58482690
Самотёчная улица;Самотёчная ул.;24390;Samotyochnaya ulicza;1;;"0105;0108";7,70000000000592E+016;58482691
1-й Самотёчный переулок;1-й Самотёчный пер.;24400;Pervy'j Samotyochny'j pereulok;2;;108;7,70000000000593E+016;58482692
2-й Самотёчный переулок;2-й Самотёчный пер.;24410;Vtoroj Samotyochny'j pereulok;2;;108;7,70000000000594E+016;58482693
3-й Самотёчный переулок;3-й Самотёчный пер.;24420;Tretij Samotyochny'j pereulok;2;;108;7,70000000000595E+016;58482694
4-й Самотёчный переулок;4-й Самотёчный пер.;24430;Chetvyorty'j Samotyochny'j pereulok;2;;108;7,70000000000596E+016;58482695
улица Санникова;ул. Санникова;24450;ulicza Sannikova;1;;311;7,70000000002571E+016;58482696
Сапёрный проезд;Сапёрный пр.;24460;Sapyorny'j proezd;3;;"0407;0411";7,70000000000442E+016;58482697
Ветошный переулок;Ветошный пер.;24470;Vetoshny'j pereulok;2;;108;7,70000000007071E+016;58482698
Санаторная аллея;Санаторная аллея;24475;Sanatornaya alleya;9;;712;7,70000000003816E+016;58482699
Саранская улица;Саранская ул.;24478;Saranskaya ulicza;1;;504;7,70000000002573E+016;58482700
Саратовская улица;Саратовская ул.;24480;Saratovskaya ulicza;1;;"0513;0514";7,70000000000308E+016;58482701
1-й Саратовский проезд;1-й Саратовский пр.;24490;Pervy'j Saratovskij proezd;3;;514;7,70000000000309E+016;58482702
2-й Саратовский проезд;2-й Саратовский пр.;24500;Vtoroj Saratovskij proezd;3;;514;7,7000000000031E+016;58482703
Саринский проезд;Саринский пр.;24510;Sarinskij proezd;3;;107;7,70000000002577E+016;58482704
Сафоновская улица;Сафоновская ул.;24520;Safonovskaya ulicza;1;;809;7,70000000002578E+016;58482705
Сахалинская улица;Сахалинская ул.;24530;Saxalinskaya ulicza;1;;406;7,70000000002579E+016;58482706
проспект Академика Сахарова;просп. Академика Сахарова;24535;prospekt Akademika Saxarova;10;;104;7,700000000007E+016;58482707
Саянская улица;Саянская ул.;24540;Sayanskaya ulicza;1;;407;7,70000000000443E+016;58482708
Театральная площадь;Театральная пл.;24550;Teatral`naya ploshhad`;4;;108;7,70000000007192E+016;58482709
Сверчков переулок;Сверчков пер.;24560;Sverchkov pereulok;2;;102;7,70000000002582E+016;58482710
улица Светланова;ул. Светланова;24565;ulicza Svetlanova;1;;815;7,70000000007603E+016;58482711
Светлогорский проезд;Светлогорский пр.;24570;Svetlogorskij proezd;3;;908;7,70000000002583E+016;58482712
Светлый проезд;Светлый пр.;24580;Svetly'j proezd;3;;214;7,70000000002584E+016;58482713
улица Алексея Свиридова;ул. Алексея Свиридова;24620;ulicza Alekseya Sviridova;1;;819;7,70000000000731E+016;58482714
площадь Свободной России;пл. Свободной России;24625;ploshhad` Svobodnoj Rossii;4;;106;7,70000000003818E+016;58482715
Свободный проспект;Свободный просп.;24630;Svobodny'j prospekt;10;;"0407;0411";7,70000000000444E+016;58482716
улица Свободы;ул. Свободы;24640;ulicza Svobody';1;;"0903;0904;0908";7,70000000002589E+016;58482717
улица Связистов;ул. Связистов;24650;ulicza Svyazistov;1;;1112;7,7000000000259E+016;58482718
Святоозерская улица;Святоозерская ул.;24655;Svyatoozerskaya ulicza;1;;409;7,70000000007317E+016;58482719
Севанская улица;Севанская ул.;24670;Sevanskaya ulicza;1;;618;7,70000000000521E+016;58482720
Севастопольская площадь;Севастопольская пл.;24675;Sevastopol`skaya ploshhad`;4;;703;7,70000000003819E+016;58482721
Севастопольский проспект;Севастопольский просп.;24680;Sevastopol`skij prospekt;10;;"0610;0703;0704;0705;0710;0712";7,70000000002592E+016;58482722
Северный бульвар;Северный бульв.;24693;Severny'j bul`var;8;;311;7,70000000002593E+016;58482723
Северный проезд;Северный пр.;24700;Severny'j proezd;3;;315;7,70000000004209E+016;58482724
1-я Северная линия;1-я Северная линия;24710;Pervaya Severnaya liniya;17;;315;7,70000000007076E+016;58482725
2-я Северная линия;2-я Северная линия;24711;Vtoraya Severnaya liniya;17;;315;7,70000000007077E+016;58482726
3-я Северная линия;3-я Северная линия;24712;Tret`ya Severnaya liniya;17;;315;7,70000000007078E+016;58482727
4-я Северная линия;4-я Северная линия;24713;Chetvyortaya Severnaya liniya;17;;315;7,70000000007143E+016;58482728
5-я Северная линия;5-я Северная линия;24714;Pyataya Severnaya liniya;17;;315;7,70000000007151E+016;58482729
6-я Северная линия;6-я Северная линия;24715;Shestaya Severnaya liniya;17;;315;7,70000000007204E+016;58482730
7-я Северная линия;7-я Северная линия;24716;Sed`maya Severnaya liniya;17;;315;7,70000000007079E+016;58482731
8-я Северная линия;8-я Северная линия;24717;Vos`maya Severnaya liniya;17;;315;7,70000000007103E+016;58482732
9-я Северная линия;9-я Северная линия;24718;Devyataya Severnaya liniya;17;;315;7,70000000007081E+016;58482733
Северодвинская улица;Северодвинская ул.;24720;Severodvinskaya ulicza;1;;314;7,70000000002596E+016;58482734
1-я Северодонецкая улица;1-я Северодонецкая ул.;24723;Pervaya Severodoneczkaya ulicza;1;;711;7,70000000003454E+016;58482735
2-я Северодонецкая улица;2-я Северодонецкая ул.;24724;Vtoraya Severodoneczkaya ulicza;1;;711;7,70000000003455E+016;58482736
улица Анны Северьяновой;ул. Анны Северьяновой;24725;ulicza Anny' Sever`yanovoj;1;;106;7,70000000000753E+016;58482737
Северянинский проезд;Северянинский пр.;24727;Severyaninskij proezd;3;;317;7,7000000000421E+016;58482738
улица Седова;ул. Седова;24730;ulicza Sedova;1;;313;7,70000000002597E+016;58482739
Селезнёвская улица;Селезнёвская ул.;24740;Seleznyovskaya ulicza;1;;108;7,70000000000597E+016;58482740
Селивёрстов переулок;Селивёрстов пер.;24750;Selivyorstov pereulok;2;;104;7,70000000000682E+016;58482741
Селигерская улица;Селигерская ул.;24760;Seligerskaya ulicza;1;;203;7,700000000026E+016;58482742
Сельскохозяйственная улица;Сельскохозяйственная ул.;24770;Sel`skoxozyajstvennaya ulicza;1;;"0310;0311;0312;0313";7,70000000002601E+016;58482743
1-й Сельскохозяйственный проезд;1-й Сельскохозяйственный пр.;24780;Pervy'j Sel`skoxozyajstvenny'j proezd;3;;312;7,70000000002602E+016;58482744
2-й Сельскохозяйственный проезд;2-й Сельскохозяйственный пр.;24781;Vtoroj Sel`skoxozyajstvenny'j proezd;3;;312;7,70000000002603E+016;58482745
Большой Кисловский переулок;Б. Кисловский пер.;24810;Bol`shoj Kislovskij pereulok;2;;"0101;0106";7,70000000007212E+016;58482746
улица Академика Семёнова;ул. Академика Семёнова;24815;ulicza Akademika Semyonova;1;;711;7,70000000004272E+016;58482747
Семёновская набережная;Семёновская наб.;24820;Semyonovskaya naberezhnaya;5;;102;7,70000000002607E+016;58482748
Семёновская площадь;Семёновская пл.;24830;Semyonovskaya ploshhad`;4;;417;7,70000000002608E+016;58482749
Большая Семёновская улица;Б. Семёновская ул.;24840;Bol`shaya Semyonovskaya ulicza;1;;417;7,70000000002605E+016;58482750
Малая Семёновская улица;М. Семёновская ул.;24850;Malaya Semyonovskaya ulicza;1;;"0415;0417";7,70000000002606E+016;58482751
улица Семёновский Вал;ул. Семёновский Вал;24860;ulicza Semyonovskij Val;1;;417;7,70000000002609E+016;58482752
Семёновский переулок;Семёновский пер.;24870;Semyonovskij pereulok;2;;417;7,7000000000261E+016;58482753
Семёновский проезд;Семёновский пр.;24875;Semyonovskij proezd;3;;417;7,70000000003822E+016;58482754
Семинарский тупик;Семинарский туп.;24880;Seminarskij tupik;7;;108;7,70000000000598E+016;58482755
Сенежская улица;Сенежская ул.;24890;Senezhskaya ulicza;1;;207;7,7000000000035E+016;58482756
улица Серафимовича;ул. Серафимовича;24900;ulicza Serafimovicha;1;;110;7,70000000002613E+016;58482757
Большой Сергиевский переулок;Б. Сергиевский пер.;24910;Bol`shoj Sergievskij pereulok;2;;105;7,70000000002615E+016;58482758
Малый Сергиевский переулок;М. Сергиевский пер.;24920;Maly'j Sergievskij pereulok;2;;105;7,70000000002614E+016;58482759
проезд Серебрякова;пр. Серебрякова;24930;proezd Serebryakova;3;;"0312;0313";7,70000000002616E+016;58482760
Серебряническая набережная;Серебряническая наб.;24940;Serebryanicheskaya naberezhnaya;5;;107;7,70000000002617E+016;58482761
Серебрянический переулок;Серебрянический пер.;24950;Serebryanicheskij pereulok;2;;107;7,70000000002618E+016;58482762
Серебряный переулок;Серебряный пер.;24960;Serebryany'j pereulok;2;;101;7,70000000002619E+016;58482763
Середниковская улица;Середниковская ул.;24965;Serednikovskaya ulicza;1;;1005;7,7000002000456E+016;58482764
улица Серёгина;ул. Серёгина;24970;ulicza Seryogina;1;;201;7,7000000000262E+016;58482765
Сержантская улица;Сержантская ул.;24980;Serzhantskaya ulicza;1;;317;7,70000000003823E+016;58482766
Лубянский проезд;Лубянский пр.;24990;Lubyanskij proezd;3;;"0102;0108";7,70000000007043E+016;58482767
улица Серова;ул. Серова;25000;ulicza Serova;1;;214;7,70000000003942E+016;58482768
Серпов переулок;Серпов пер.;25010;Serpov pereulok;2;;109;7,70000000002624E+016;58482769
Большая Серпуховская улица;Б. Серпуховская ул.;25020;Bol`shaya Serpuxovskaya ulicza;1;;"0103;0609";7,70000000002625E+016;58482770
улица Серпуховский Вал;ул. Серпуховский Вал;25030;ulicza Serpuxovskij Val;1;;609;7,70000000002629E+016;58482771
Серпуховский переулок;Серпуховский пер.;25040;Serpuxovskij pereulok;2;;103;7,7000000000263E+016;58482772
площадь Серпуховская Застава;пл. Серпуховская Застава;25060;ploshhad` Serpuxovskaya Zastava;4;;609;7,70000000002626E+016;58482773
Сеславинская улица;Сеславинская ул.;25070;Seslavinskaya ulicza;1;;818;7,70000000002631E+016;58482774
1-я Сестрорецкая улица;1-я Сестрорецкая ул.;25075;Pervaya Sestroreczkaya ulicza;1;;212;7,70000000003824E+016;58482775
2-я Сестрорецкая улица;2-я Сестрорецкая ул.;25076;Vtoraya Sestroreczkaya ulicza;1;;212;7,70000000003825E+016;58482776
3-я Сестрорецкая улица;3-я Сестрорецкая ул.;25077;Tret`ya Sestroreczkaya ulicza;1;;212;7,70000000003826E+016;58482777
1-й Сетуньский проезд;1-й Сетуньский пр.;25080;Pervy'j Setun`skij proezd;3;;815;7,70000000002633E+016;58482778
2-й Сетуньский проезд;2-й Сетуньский пр.;25090;Vtoroj Setun`skij proezd;3;;815;7,70000000002634E+016;58482779
3-й Сетуньский проезд;3-й Сетуньский пр.;25100;Tretij Setun`skij proezd;3;;815;7,70000000002635E+016;58482780
4-й Сетуньский проезд;4-й Сетуньский пр.;25101;Chetvyorty'j Setun`skij proezd;3;;815;7,70000000002636E+016;58482781
Сеченовский переулок;Сеченовский пер.;25120;Sechenovskij pereulok;2;;109;7,70000000007005E+016;58482782
Сибирский проезд;Сибирский пр.;25130;Sibirskij proezd;3;;107;7,70000000000316E+016;58482783
Сибиряковская улица;Сибиряковская ул.;25140;Sibiryakovskaya ulicza;1;;313;7,70000000003827E+016;58482784
Сивашская улица;Сивашская ул.;25145;Sivashskaya ulicza;1;;703;7,7000000000264E+016;58482785
переулок Сивцев Вражек;пер. Сивцев Вражек;25150;pereulok Sivczev Vrazhek;2;;"0101;0109";7,70000000002641E+016;58482786
Сивяков переулок;Сивяков пер.;25160;Sivyakov pereulok;2;;107;7,70000000003828E+016;58482787
Сигнальный проезд;Сигнальный пр.;25170;Signal`ny'j proezd;3;;"0203;0311";7,70000000002642E+016;58482788
1-й Силикатный проезд;1-й Силикатный пр.;25180;Pervy'j Silikatny'j proezd;3;;906;7,70000000002643E+016;58482789
2-й Силикатный проезд;2-й Силикатный пр.;25190;Vtoroj Silikatny'j proezd;3;;906;7,70000000002644E+016;58482790
3-й Силикатный проезд;3-й Силикатный пр.;25200;Tretij Silikatny'j proezd;3;;906;7,70000000002645E+016;58482791
улица Константина Симонова;ул. Константина Симонова;25225;ulicza Konstantina Simonova;1;;201;7,70000000003324E+016;58482792
Симоновская набережная;Симоновская наб.;25230;Simonovskaya naberezhnaya;5;;609;7,70000000002646E+016;58482793
улица Симоновский Вал;ул. Симоновский Вал;25240;ulicza Simonovskij Val;1;;"0107;0515;0609";7,7000000000021E+016;58482794
Большой Симоновский переулок;Б. Симоновский пер.;25250;Bol`shoj Simonovskij pereulok;2;;107;7,70000000002647E+016;58482795
Симоновский тупик;Симоновский туп.;25270;Simonovskij tupik;7;;513;7,7000000000265E+016;58482796
Симферопольский бульвар;Симферопольский бульв.;25280;Simferopol`skij bul`var;8;;"0615;0703";7,70000000002651E+016;58482797
Симферопольский проезд;Симферопольский пр.;25285;Simferopol`skij proezd;3;;615;7,70000000002652E+016;58482798
Синельниковская улица;Синельниковская ул.;25305;Sinel`nikovskaya ulicza;1;;711;7,70000000002653E+016;58482799
1-я улица Синичкина;1-я ул. Синичкина;25320;Pervaya ulicza Sinichkina;1;;507;7,70000000000311E+016;58482800
2-я улица Синичкина;2-я ул. Синичкина;25330;Vtoraya ulicza Sinichkina;1;;507;7,70000000000312E+016;58482801
Синявинская улица;Синявинская ул.;25335;Sinyavinskaya ulicza;1;;212;7,70000000002656E+016;58482802
Сиреневый бульвар;Сиреневый бульв.;25340;Sirenevy'j bul`var;8;;"0405;0408;0416";7,70000000002657E+016;58482803
Скаковая аллея;Скаковая аллея;25350;Skakovaya alleya;9;;202;7,70000000002658E+016;58482804
Скаковая улица;Скаковая ул.;25360;Skakovaya ulicza;1;;202;7,70000000002659E+016;58482805
Скарятинский переулок;Скарятинский пер.;25370;Skaryatinskij pereulok;2;;106;7,70000000007154E+016;58482806
Скатертный переулок;Скатертный пер.;25380;Skatertny'j pereulok;2;;"0101;0106";7,7000000000266E+016;58482807
Большой Путинковский переулок;Б. Путинковский пер.;25390;Bol`shoj Putinkovskij pereulok;2;;108;7,70000000007141E+016;58482808
Складочный тупик;Складочный туп.;25395;Skladochny'j tupik;7;;309;7,70000000003829E+016;58482809
Складочная улица;Складочная ул.;25400;Skladochnaya ulicza;1;;"0305;0309";7,70000000002662E+016;58482810
Скобелевская улица;Скобелевская ул.;25401;Skobelevskaya ulicza;1;;711;7,70000000003958E+016;58482811
Сколковское шоссе;Сколковское ш.;25410;Skolkovskoe shosse;6;;809;7,70000000002663E+016;58482812
Скорняжный переулок;Скорняжный пер.;25420;Skornyazhny'j pereulok;2;;104;7,70000000000683E+016;58482813
Скотопрогонная улица;Скотопрогонная ул.;25430;Skotoprogonnaya ulicza;1;;"0107;0510";7,70000000007228E+016;58482814
улица Академика Скрябина;ул. Академика Скрябина;25435;ulicza Akademika Skryabina;1;;"0504;0506;0513";7,70000000000078E+016;58482815
Скрябинский переулок;Скрябинский пер.;25440;Skryabinskij pereulok;2;;105;7,70000000002667E+016;58482816
площадь Славы;пл. Славы;25443;ploshhad` Slavy';4;;506;7,70000000007486E+016;58482817
Славянская площадь;Славянская пл.;25445;Slavyanskaya ploshhad`;4;;"0107;0108";7,70000000002668E+016;58482818
Славянский бульвар;Славянский бульв.;25450;Slavyanskij bul`var;8;;819;7,70000000002669E+016;58482819
улица Слепнёва;ул. Слепнёва;25460;ulicza Slepnyova;1;;306;7,7000000000267E+016;58482820
Слесарный переулок;Слесарный пер.;25470;Slesarny'j pereulok;2;;105;7,70000000002671E+016;58482821
Слободской переулок;Слободской пер.;25480;Slobodskoj pereulok;2;;507;7,70000000000319E+016;58482822
Смирновская улица;Смирновская ул.;25500;Smirnovskaya ulicza;1;;510;7,7000000000032E+016;58482823
Смоленская набережная;Смоленская наб.;25510;Smolenskaya naberezhnaya;5;;101;7,70000000002674E+016;58482824
Смоленская площадь;Смоленская пл.;25520;Smolenskaya ploshhad`;4;;101;7,70000000002675E+016;58482825
Смоленская-Сенная площадь;Смоленская-Сенная пл.;25530;Smolenskaya-Sennaya ploshhad`;4;;"0101;0109";7,70000000002677E+016;58482826
Смоленская улица;Смоленская ул.;25540;Smolenskaya ulicza;1;;"0101;0109";7,70000000002676E+016;58482827
Смоленский бульвар;Смоленский бульв.;25550;Smolenskij bul`var;8;;"0101;0109";7,70000000002681E+016;58482828
1-й Смоленский переулок;1-й Смоленский пер.;25560;Pervy'j Smolenskij pereulok;2;;101;7,70000000002678E+016;58482829
2-й Смоленский переулок;2-й Смоленский пер.;25570;Vtoroj Smolenskij pereulok;2;;101;7,70000000002679E+016;58482830
3-й Смоленский переулок;3-й Смоленский пер.;25571;Tretij Smolenskij pereulok;2;;101;7,7000000000268E+016;58482831
Смольная улица;Смольная ул.;25580;Smol`naya ulicza;1;;"0207;0211;0216";7,70000000002682E+016;58482832
Снайперская улица;Снайперская ул.;25590;Snajperskaya ulicza;1;;404;7,70000000000445E+016;58482833
Снежная улица;Снежная ул.;25600;Snezhnaya ulicza;1;;313;7,70000000002684E+016;58482834
Малый Кисловский переулок;М. Кисловский пер.;25610;Maly'j Kislovskij pereulok;2;;106;7,70000000007002E+016;58482835
Соболевский проезд;Соболевский пр.;25620;Sobolevskij proezd;3;;210;7,70000000000367E+016;58482836
Тверская площадь;Тверская пл.;25630;Tverskaya ploshhad`;4;;108;7,70000000007488E+016;58482837
Советская улица;Советская ул.;25640;Sovetskaya ulicza;1;;408;7,70000000002689E+016;58482838
Советская улица;Советская ул.;25644;Sovetskaya ulicza;1;;1005;7,70000020002692E+016;58482839
Советская улица;Советская ул.;25645;Sovetskaya ulicza;1;728255;1112;7,70000000440002E+016;58482840
Советская улица;Советская ул.;25646;Sovetskaya ulicza;1;703580;1112;7,70000000023922E+016;58482841
Советская улица;Советская ул.;25647;Sovetskaya ulicza;1;;807;7,7000000025269E+016;58482842
улица Советской Армии;ул. Советской Армии;25670;ulicza Sovetskoj Armii;1;;"0105;0309";7,70000000002693E+016;58482843
Совхозная улица;Совхозная ул.;25680;Sovxoznaya ulicza;1;;508;7,70000000000211E+016;58482844
Соймоновский проезд;Соймоновский пр.;25690;Sojmonovskij proezd;3;;109;7,70000000007054E+016;58482845
улица Столетова;ул. Столетова;25700;ulicza Stoletova;1;;815;7,70000000002793E+016;58482846
3-я улица Соколиной Горы;3-я ул. Соколиной Горы;25720;Tret`ya ulicza Sokolinoj Gory';1;;417;7,70000000000446E+016;58482847
5-я улица Соколиной Горы;5-я ул. Соколиной Горы;25730;Pyataya ulicza Sokolinoj Gory';1;;417;7,70000000000447E+016;58482849
8-я улица Соколиной Горы;8-я ул. Соколиной Горы;25740;Vos`maya ulicza Sokolinoj Gory';1;;"0408;0417";7,700000000027E+016;58482850
9-я улица Соколиной Горы;9-я ул. Соколиной Горы;25750;Devyataya ulicza Sokolinoj Gory';1;;417;7,70000000002701E+016;58482851
10-я улица Соколиной Горы;10-я ул. Соколиной Горы;25760;Desyataya ulicza Sokolinoj Gory';1;;417;7,70000000002695E+016;58482852
Соколово-Мещерская улица;Соколово-Мещерская ул.;25785;Sokolovo-Meshherskaya ulicza;1;;901;7,7000000000452E+016;58482853
улица Маршала Соколовского;ул. Маршала Соколовского;25790;ulicza Marshala Sokolovskogo;1;;907;7,70000000002702E+016;58482854
улица Сокольническая Слободка;ул. Сокольническая Слободка;25800;ulicza Sokol`nicheskaya Slobodka;1;;418;7,70000000002708E+016;58482855
1-я Сокольническая улица;1-я Сокольническая ул.;25810;Pervaya Sokol`nicheskaya ulicza;1;;418;7,70000000002703E+016;58482856
2-я Сокольническая улица;2-я Сокольническая ул.;25820;Vtoraya Sokol`nicheskaya ulicza;1;;418;7,70000000002704E+016;58482857
3-я Сокольническая улица;3-я Сокольническая ул.;25825;Tret`ya Sokol`nicheskaya ulicza;1;;418;7,70000000002705E+016;58482858
4-я Сокольническая улица;4-я Сокольническая ул.;25830;Chetvyortaya Sokol`nicheskaya ulicza;1;;418;7,70000000002706E+016;58482859
5-я Сокольническая улица;5-я Сокольническая ул.;25835;Pyataya Sokol`nicheskaya ulicza;1;;418;7,70000000003235E+016;58482860
Сокольнический Павильонный проезд;Сокольнический Павильонный пр.;25850;Sokol`nicheskij Pavil`onny'j proezd;3;;418;7,70000000004212E+016;58482861
проезд Сокольнического Круга;пр. Сокольнического Круга;25860;proezd Sokol`nicheskogo Kruga;3;;418;7,70000000004213E+016;58482862
улица Сокольнический Вал;ул. Сокольнический Вал;25870;ulicza Sokol`nicheskij Val;1;;418;7,70000000002709E+016;58482863
Сокольнический переулок;Сокольнический пер.;25880;Sokol`nicheskij pereulok;2;;418;7,7000000000271E+016;58482864
Сокольническая площадь;Сокольническая пл.;25885;Sokol`nicheskaya ploshhad`;4;;418;7,70000000002707E+016;58482865
Солдатская улица;Солдатская ул.;25900;Soldatskaya ulicza;1;;507;7,70000000000314E+016;58482866
Солдатский переулок;Солдатский пер.;25910;Soldatskij pereulok;2;;507;7,70000000000313E+016;58482867
Солнечная аллея;Солнечная аллея;25920;Solnechnaya alleya;9;;1012;7,70000020002714E+016;58482868
Солнечная улица;Солнечная ул.;25930;Solnechnaya ulicza;1;;618;7,70000000000522E+016;58482869
Солнечная улица;Солнечная ул.;25935;Solnechnaya ulicza;1;;1012;7,70000020004579E+016;58482870
Солнечногорская улица;Солнечногорская ул.;25940;Solnechnogorskaya ulicza;1;;207;7,70000000000353E+016;58482871
Солнечногорский проезд;Солнечногорский пр.;25950;Solnechnogorskij proezd;3;;207;7,7000000000036E+016;58482872
Солнцевский проспект;Солнцевский просп.;25955;Solnczevskij prospekt;10;;816;7,70000000002718E+016;58482873
площадь Соловецких Юнг;пл. Соловецких Юнг;25960;ploshhad` Soloveczkix Yung;4;;416;7,70000000004214E+016;58482875
улица Саломеи Нерис;ул. Саломеи Нерис;25965;ulicza Salomei Neris;1;;"0904;0908";7,70000000003383E+016;58482876
проезд Соломенной Сторожки;пр. Соломенной Сторожки;25970;proezd Solomennoj Storozhki;3;;215;7,7000000000272E+016;58482877
улица Соловьиная Роща;ул. Соловьиная Роща;25980;ulicza Solov`inaya Roshha;1;;901;7,70000000004515E+016;58482878
Соловьиный проезд;Соловьиный пр.;25985;Solov`iny'j proezd;3;;712;7,70000000002719E+016;58482879
улица Солянка;ул. Солянка;25990;ulicza Solyanka;1;;"0102;0107";7,70000000002721E+016;58482880
Солянский проезд;Солянский пр.;26000;Solyanskij proezd;3;;"0102;0107";7,70000000002722E+016;58482881
Солянский тупик;Солянский туп.;26010;Solyanskij tupik;7;;107;7,70000000002723E+016;58482882
Сормовская улица;Сормовская ул.;26020;Sormovskaya ulicza;1;;504;7,70000000000051E+016;58482883
Сормовский проезд;Сормовский пр.;26025;Sormovskij proezd;3;;504;7,70000000003831E+016;58482884
Сорокин переулок;Сорокин пер.;26030;Sorokin pereulok;2;;510;7,70000000007065E+016;58482885
