2-й Кожевнический переулок;2-й Кожевнический пер.;Vtoroj Kozhevnicheskij pereulok;;;
4-й Кожевнический переулок;4-й Кожевнический пер.;Chetvyorty'j Kozhevnicheskij pereulok;;;
улица Василисы Кожиной;ул. Василисы Кожиной;ulicza Vasilisy' Kozhinoj;;;
5-я Кожуховская улица;5-я Кожуховская ул.;Pyataya Kozhuxovskaya ulicza;;;
6-я Кожуховская улица;6-я Кожуховская ул.;Shestaya Kozhuxovskaya ulicza;;;
7-я Кожуховская улица;7-я Кожуховская ул.;Sed`maya Kozhuxovskaya ulicza;;;
1-й Кожуховский проезд;1-й Кожуховский пр.;Pervy'j Kozhuxovskij proezd;;;
2-й Кожуховский проезд;2-й Кожуховский пр.;Vtoroj Kozhuxovskij proezd;;;
3-й Кожуховский проезд;3-й Кожуховский пр.;Tretij Kozhuxovskij proezd;;;
Малый Козихинский переулок;М. Козихинский пер.;Maly'j Kozixinskij pereulok;;;
Козицкий переулок;Козицкий пер.;Koziczkij pereulok;;;
Козлова улица;Козлова ул.;Kozlova ulicza;;;
Большой Козловский переулок;Б. Козловский пер.;Bol`shoj Kozlovskij pereulok;;;
Малый Козловский переулок;М. Козловский пер.;Maly'j Kozlovskij pereulok;;;
улица Коккинаки;ул. Коккинаки;ulicza Kokkinaki;;;
Коктебельская улица;Коктебельская ул.;Koktebel`skaya ulicza;;;
Коленчатый переулок;Коленчатый пер.;Kolenchaty'j pereulok;;;
Коллективный проезд;Коллективный пр.;Kollektivny'j proezd;;;
улица Елены Колесовой;ул. Елены Колесовой;ulicza Eleny' Kolesovoj;;;
улица Колобашкина;ул. Колобашкина;ulicza Kolobashkina;;;
1-й Колобовский переулок;1-й Колобовский пер.;Pervy'j Kolobovskij pereulok;;;
2-й Колобовский переулок;2-й Колобовский пер.;Vtoroj Kolobovskij pereulok;;;
3-й Колобовский переулок;3-й Колобовский пер.;Tretij Kolobovskij pereulok;;;
Колодезная улица;Колодезная ул.;Kolodeznaya ulicza;;;
Колодезный переулок;Колодезный пер.;Kolodezny'j pereulok;;;
Колокольников переулок;Колокольников пер.;Kolokol`nikov pereulok;;;
Коломенская улица;Коломенская ул.;Kolomenskaya ulicza;;;
Коломенская набережная;Коломенская наб.;Kolomenskaya naberezhnaya;;;
Коломенский проезд;Коломенский пр.;Kolomenskij proezd;;;
Колпачный переулок;Колпачный пер.;Kolpachny'j pereulok;;;
Коломенское шоссе;Коломенское ш.;Kolomenskoe shosse;;;
Колпинская улица;Колпинская ул.;Kolpinskaya ulicza;;;
Большая Сухаревская площадь;Б. Сухаревская пл.;Bol`shaya Suxarevskaya ploshhad`;;;
Малая Сухаревская площадь;М. Сухаревская пл.;Malaya Suxarevskaya ploshhad`;;;
площадь Колумба;пл. Колумба;ploshhad` Kolumba;;;
Колхозная улица;Колхозная ул.;Kolxoznaya ulicza;;;
Кольская улица;Кольская ул.;Kol`skaya ulicza;;;
улица Академика Комарова;ул. Академика Комарова;ulicza Akademika Komarova;;;
площадь Космонавта Комарова;пл. Космонавта Комарова;ploshhad` Kosmonavta Komarova;;;
улица Коминтерна;ул. Коминтерна;ulicza Kominterna;;;
Комиссариатский переулок;Комиссариатский пер.;Komissariatskij pereulok;;;
Коммунарская улица;Коммунарская ул.;Kommunarskaya ulicza;;;
Коммунистическая улица;Коммунистическая ул.;Kommunisticheskaya ulicza;;;
улица Александра Солженицына;ул. Александра Солженицына;ulicza Aleksandra Solzheniczy'na;;;
улица Станиславского;ул. Станиславского;ulicza Stanislavskogo;;;
Коммунистический переулок;Коммунистический пер.;Kommunisticheskij pereulok;;;
Суворовская площадь;Суворовская пл.;Suvorovskaya ploshhad`;;;
Композиторская улица;Композиторская ул.;Kompozitorskaya ulicza;;;
Комсомольская площадь;Комсомольская пл.;Komsomol`skaya ploshhad`;;;
Комсомольская улица;Комсомольская ул.;Komsomol`skaya ulicza;;;
Большой Златоустинский переулок;Б. Златоустинский пер.;Bol`shoj Zlatoustinskij pereulok;;;
Малый Златоустинский переулок;М. Златоустинский пер.;Maly'j Zlatoustinskij pereulok;;;
